"ID","X","Y","pH","OM","P","K","Mg","Ca","Al","NO_3","EC","Elev"
"55",45.569966635797,507.48255201244,6.8,2.2,230,690,210,3500,1130,74.84,17.95,2.3918495
"56",67.1539888142877,507.085265178581,6.1,1.9,190,375,160,2000,1740,56.47,4.35,2.4953232
"57",85.6762116063381,506.344806151118,6.7,3.1,160,350,200,3000,1760,30.19,7,3.3761253
"58",104.045590012233,505.429454768271,5.3,1.2,190,480,230,1400,1660,20.04,4.45,3.1980934
"59",125.731086840034,504.748909788988,5.8,3.4,250,350,170,2200,1800,34.57,9.6,3.95541
"60",145.258104118388,504.122929801973,5.5,2.2,260,520,220,1800,1600,39.41,6.5125,3.5897255
"61",165.222002785783,503.770151101553,5.6,4.2,290,500,140,1900,2010,57.03,6.8,4.0170288
"62",185.846749088614,504.219883164837,5.3,3.4,280,580,155,1600,1490,69.98,7.60833333333333,4.0522003
"63",35.6136091882487,486.106983537204,6.4,2.2,260,420,160,2800,1280,34.16,7.4,2.482193
"64",56.0194927365188,486.079285991125,6.2,2.9,140,450,120,2300,1890,32.18,3.5,2.7086411
"65",76.7001429448615,486.722175888694,6.3,3.2,140,330,120,2500,1690,38.65,7.65,3.2836037
"66",96.8793380943265,487.797557576429,6.1,3.5,180,350,150,2600,1850,45.74,12.4,3.3652229
"67",116.827577639486,486.620464189148,5.8,3.5,300,370,200,2400,1730,45.56,6.8,3.7827301
"68",136.754655813498,486.322687009139,5.5,4,265,390,110,1400,2040,37.16,7.6,3.6491394
"69",156.465009208398,487.447503268716,5.6,4.5,275,330,130,1900,1900,45.76,5.7,3.7824936
"70",176.626496800623,487.111203811576,5.4,3.3,230,790,160,1400,1890,107.39,11.1,4.2173805
"71",195.742787898727,487.184641104741,5.4,2.1,240,545,160,1500,1540,22.56,6.1,4.0764618
"72",25.7542854874527,467.443940189422,6,2.7,170,390,150,1800,1980,22.67,3.85,2.4917679
"73",46.9070156442753,468.323288613659,6.7,4,150,480,150,3700,1890,60.3,11.1,3.0056419
"74",66.288248752688,468.576311097608,6,2.6,140,530,160,1600,2140,46.4,3.3,3.1183434
"75",86.4152777081581,467.915688532622,6.2,3.2,210,300,130,2700,1880,55.04,8.4,3.4476776
"76",104.512824517118,468.69468562662,5.5,1.1,130,180,210,1600,1440,5.74,6,3.3617668
"77",125.918010044493,468.089680523705,5.6,3.6,320,340,130,2000,1820,42.6,7.65,3.8820152
"78",146.392598808194,467.398074765373,5.7,2.3,265,550,250,2300,1210,39.78,7.09285714285714,3.5745125
"79",165.319743428643,468.217916619855,5.2,3.9,380,760,185,1900,1570,102.53,7,4.1111412
"80",185.732350761056,468.773198378295,5.3,4.7,170,540,130,1000,2010,51.21,6.85,4.4079285
"81",36.5831301882552,448.147910100398,6.4,4.5,170,680,190,3100,1790,35.71,3.2,3.1396027
"82",54.8301171464549,448.574561859861,6.6,3.6,200,580,165,3200,1700,27.82,6.6,3.0586853
"83",74.169221457464,449.489995836701,6.2,3.8,260,390,145,3100,1730,30.1,6.75,3.3953133
"84",95.5249272445685,448.80752230545,6,3,150,490,170,2400,1800,38.3,7.3,3.4782677
"85",115.28852050612,447.392871871368,5.9,3.7,150,290,200,2400,1850,43.07,6.8,3.833889
"86",135.00517411234,447.034601043385,5.2,3.5,210,490,145,1400,1760,48.18,5.45,3.9094391
"87",154.504064914462,447.922990469033,5.3,3.9,220,560,150,1600,1720,78.67,7.3,4.010601
"88",174.676290606887,447.445035391699,5.2,3.4,200,620,170,1500,1780,39.25,6.65,4.5699501
"89",196.116544899282,447.552582513552,5.5,2.9,90,440,110,800,2230,32.14,3.4,4.7697182
"90",26.5896692622514,428.805923074828,6.3,2.8,140,335,180,2400,1710,37.42,4.9,3.0462265
"91",44.1537887870826,428.600114781216,6.4,3.5,340,498.125,240,4200,1560,41.59625,16.1,3.2986717
