X,Y,ID,tC_015,tC_1530,FFtC,tC,Sand,Silt,Clay,pH,K,P,Mg,Ca,Min,RM,SuM,SiM,BE,RO,WB,GB,YB,BW,BH,SH,AE,WA,BA,IW,MW,HE
582547.241372000,5031289.44618000,11,5.69647983366740,3.58093903232530,0.417366628162162,9.69478549415486,66.1300000000000,13.2900000000000,20.5900000000000,4.44000000000000,96,20.4400000000000,120.500000000000,455,152.850182150966,13,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
582463.990318000,5031247.53266000,13,2.18090703760204,1.07304948292134,0.428111345831563,3.68206786635493,92.2600000000000,6.60000000000000,1.14000000000000,4.88000000000000,34,5.60000000000000,25.6000000000000,155,61.9877288442762,12,0,0,8,1,0,0,4,0,0,0,0,0,0,0,0,6
582411.617321000,5031227.13969300,14,2.28293983849155,2.90217594655767,0.499924381940574,5.68504016698979,83.8300000000000,8.39000000000000,7.78000000000000,4.85000000000000,19,2.03000000000000,9.70000000000000,29,22.6796831736527,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
582370.143377000,5031200.06909100,15,2.53236398769842,1.56654584186127,0.296260487804878,4.39517031736457,88.3400000000000,5.67000000000000,5.99000000000000,5.28000000000000,35,17.6100000000000,19.7000000000000,93,69.4299641841004,7,0,0,5,5,1,7,0,2,2,0,0,1,0,0,0,0
582530.066601000,5031333.82046400,21,2.97156889388014,2.76407319927717,0.115847951734693,5.85149004489200,73.2400000000000,10.2000000000000,16.5600000000000,5.48000000000000,133,24.4700000000000,105,495,277.669198248144,7,0,0,2,0,0,0,8,2,0,0,0,1,0,0,0,0
582485.459669000,5031310.34147300,22,3.35718128147978,2.94952508090713,0.950396168034115,7.25710253042103,81.2600000000000,8.57000000000000,10.1700000000000,4.89000000000000,21,2.77000000000000,14.3000000000000,26,46.5637469791563,6,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0
582436.658695000,5031287.88142000,23,4.30992840318489,3.47881440831174,1.25154627726657,9.04028908876320,84.9000000000000,6.70000000000000,8.39000000000000,4.62000000000000,28,5.78000000000000,15.2000000000000,43,73.2725832564154,9,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0
582390.824307000,5031262.69319300,24,3.87112577479010,1.36562619949826,0.520898300328070,5.75765027461643,88.4600000000000,4.58000000000000,6.95000000000000,5.18000000000000,34,13.4000000000000,16.8000000000000,143,62.4299272957859,17,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,2
582345.564749000,5031240.18986400,25,3.54780056488699,2.83647244262726,0.640842895380143,7.02511590289439,84.8600000000000,8.36000000000000,6.78000000000000,4.82000000000000,60,8.95000000000000,29.5000000000000,66,131.269556138495,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
582504.627468000,5031375.81923500,31,4.99635769867771,1.83598740144123,0.118403151853246,6.95074825197219,30.6500000000000,30.2400000000000,39.1100000000000,5.78000000000000,167,19.0200000000000,400,1490,249.510713665339,11,5,0,2,0,0,0,0,2,5,0,0,0,0,2,0,2
582461.456951000,5031353.26547000,32,3.94144255014903,1.62836423332705,0.324862083878644,5.89466886735472,84.1600000000000,6.44000000000000,9.40000000000000,5.42000000000000,23,12.8400000000000,31.2000000000000,156,52.8753739404424,19,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0
